CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82980600,-25.4666337593647,-49.1916779820241,2,06:00:00,96,81910570,-25.5339269047986,-49.2586402382427,SIM,06:07:00
81910570,-25.5339269047986,-49.2586402382427,2,06:08:00,96,81470256,-25.569416591018,-49.337872181861,SIM,06:14:00
81470256,-25.569416591018,-49.337872181861,2,06:15:00,96,81490400,-25.5959260793478,-49.3357867186009,SIM,06:16:00
81490400,-25.5959260793478,-49.3357867186009,2,06:17:00,36,81540160,-25.4663186667815,-49.2166009443659,SIM,06:38:00
81540160,-25.4663186667815,-49.2166009443659,2,06:39:00,96,80330250,-25.4685255880972,-49.3077515647853,SIM,06:46:00
80330250,-25.4685255880972,-49.3077515647853,2,06:47:00,96,81450140,-25.4974735953017,-49.3493514288727,SIM,06:50:00
81450140,-25.4974735953017,-49.3493514288727,2,06:51:00,96,81710380,-25.4967925893433,-49.2594143510465,SIM,06:55:00
81710380,-25.4967925893433,-49.2594143510465,2,06:56:00,96,82960200,-25.468586333766,-49.2107938551622,SIM,06:59:00
82960200,-25.468586333766,-49.2107938551622,2,07:00:00,96,80820350,-25.4104868271504,-49.2948596739003,SIM,07:07:00
80820350,-25.4104868271504,-49.2948596739003,2,07:08:00,96,82800310,-25.4363060856137,-49.2266446131255,SIM,07:11:00
82800310,-25.4363060856137,-49.2266446131255,2,07:12:00,96,81650080,-25.4844139677447,-49.2377486322425,SIM,07:15:00
81650080,-25.4844139677447,-49.2377486322425,2,07:16:00,96,81265330,-25.4702238422545,-49.3713250851996,SIM,07:26:00
81265330,-25.4702238422545,-49.3713250851996,2,07:27:00,96,81450310,-25.4928927891057,-49.3482807107009,SIM,07:28:00
81450310,-25.4928927891057,-49.3482807107009,2,07:29:00,96,80710040,-25.4214634286453,-49.3044615715174,SIM,07:34:00
80710040,-25.4214634286453,-49.3044615715174,2,07:35:00,96,80045270,-25.4269458358083,-49.2498379452408,SIM,07:37:00
80045270,-25.4269458358083,-49.2498379452408,2,07:38:00,36,81220090,-25.4539760939031,-49.3149024143145,SIM,07:59:00
81220090,-25.4539760939031,-49.3149024143145,2,08:00:00,96,81830020,-25.5125646322447,-49.2675350633395,SIM,08:04:00
81830020,-25.5125646322447,-49.2675350633395,2,08:05:00,96,81580020,-25.4882127778241,-49.2241676667996,SIM,08:07:00
81580020,-25.4882127778241,-49.2241676667996,2,08:08:00,96,82630100,-25.3812692780083,-49.2161803524462,SIM,08:15:00
82630100,-25.3812692780083,-49.2161803524462,2,08:16:00,96,81550150,-25.4770778208763,-49.2126543845983,SIM,08:22:00
81550150,-25.4770778208763,-49.2126543845983,2,08:23:00,96,82560040,-25.385069922368,-49.2480647046834,SIM,08:30:00
82560040,-25.385069922368,-49.2480647046834,2,08:31:00,96,81900560,-25.5386532636233,-49.2709988129397,SIM,08:41:00
81900560,-25.5386532636233,-49.2709988129397,2,08:42:00,96,81920500,-25.5428123134011,-49.2544219342922,SIM,08:42:00
81920500,-25.5428123134011,-49.2544219342922,2,08:43:00,96,81450410,-25.4981067710058,-49.3448539613686,SIM,08:50:00
81450410,-25.4981067710058,-49.3448539613686,2,08:51:00,96,81590568,-25.4865484092882,-49.1981543961654,SIM,08:58:00
81590568,-25.4865484092882,-49.1981543961654,2,08:59:00,36,80220200,-25.4672406908201,-49.2801499774178,SIM,09:28:00
80220200,-25.4672406908201,-49.2801499774178,2,09:29:00,96,81350607,-25.5098119631631,-49.3366327775834,SIM,09:34:00
81350607,-25.5098119631631,-49.3366327775834,2,09:35:00,96,80820480,-25.4089459015341,-49.3017935380524,SIM,09:41:00
80820480,-25.4089459015341,-49.3017935380524,2,09:42:00,96,81935317,-25.5574814410697,-49.2659726298718,SIM,09:51:00
81935317,-25.5574814410697,-49.2659726298718,2,09:52:00,96,80710600,-25.4224698510365,-49.3006978054742,SIM,10:01:00
80710600,-25.4224698510365,-49.3006978054742,2,10:02:00,96,82520150,-25.4121197273283,-49.2373089094202,SIM,10:05:00
82520150,-25.4121197273283,-49.2373089094202,2,10:06:00,96,80040153,-25.4213319028677,-49.2481648998847,SIM,10:07:00
80040153,-25.4213319028677,-49.2481648998847,2,10:08:00,96,82840120,-25.4055829533743,-49.2167226661471,SIM,10:09:00
82840120,-25.4055829533743,-49.2167226661471,2,10:10:00,36,81452040,-25.4998370213564,-49.3545044201704,SIM,10:53:00
81452040,-25.4998370213564,-49.3545044201704,2,10:54:00,96,81050637,-25.4835295000015,-49.3145007999984,SIM,10:56:00
